Country,Region,Moody's rating,Rating-based Default Spread,Total Equity Risk Premium,Country Risk Premium,expected_gdp_growth_rate_pct,expected_gdp_growth_window_years,expected_gdp_growth_start_year,expected_gdp_growth_end_year,GDP_0,GDP_1,Cost of Equity,PV_of GDP
Albania,Eastern Europe & Russia,Ba3,0.02863442,0.086512078,0.044512078,0.10948722335035255,9.0,2016.0,2025.0,30540188271.3421,33883948685.76835,0.28301137935035253,195269347316.5105
Angola,Africa,B3,0.051747824,0.122441762,0.080441762,0.08068506955818089,9.0,2016.0,2025.0,122174889423.635,132032578875.04404,0.32606859355818085,538066194187.69147
Argentina,Central and South America,Caa1,0.05970183,0.134806228,0.092806228,0.02282523158164218,9.0,2016.0,2025.0,683097891618.597,698689759187.723,0.2929376875816422,2586662494334.297
Armenia,Eastern Europe & Russia,Ba3,0.02863442,0.086512078,0.044512078,0.11999228304442688,9.0,2016.0,2025.0,29243452882.3545,32752441557.81034,0.29351643904442687,188748600268.71616
Aruba,Caribbean,Baa3,0.017498812,0.069201825,0.027201825,0.03863506086023083,9.0,2015.0,2024.0,4167588070.29217,4328603089.02828,0.17753871086023082,31162630276.657818
Australia,Australia & New Zealand,Aaa,0.0,0.042,0.0,0.044869910356426956,9.0,2016.0,2025.0,1798518933689.21,1879218317018.1814,0.12936991035642698,22239270023883.797
Austria,Western Europe,Aa1,0.002186354,0.045398677,0.003398677,0.04388649236966735,9.0,2016.0,2025.0,579470021095.418,604900927754.673,0.13518384636966735,6625612914857.018
Azerbaijan,Eastern Europe & Russia,Baa3,0.017498812,0.069201825,0.027201825,0.08038205897887485,9.0,2016.0,2025.0,75937647058.8235,82041671483.42284,0.21928570897887484,590637261752.4655
Bahrain,Middle East,B2,0.043793819,0.110077296,0.068077296,0.0417545874816343,9.0,2016.0,2025.0,48965725531.9149,51010269202.23894,0.2624091794816343,231177011726.26828
Bangladesh,Asia,B2,0.043793819,0.110077296,0.068077296,0.062145223927481785,9.0,2016.0,2025.0,456319229255.578,484677289940.0818,0.28279981592748177,2196542956785.97
Barbados,Caribbean,C,0.175,0.314036717,0.272036717,0.03904610942516995,9.0,2016.0,2025.0,8016550000.0,8329565088.512346,0.6676195434251699,13251538544.201897
Belarus,Eastern Europe & Russia,C,0.175,0.314036717,0.272036717,0.0774574707627873,9.0,2016.0,2025.0,93397215864.198,100631527981.32484,0.7060309047627873,160095101921.41663
Belgium,Western Europe,A1,0.005614592,0.050727858,0.008727858,0.04835900015625749,9.0,2016.0,2025.0,725466462859.646,760549295650.4352,0.1503147161562575,7459604282024.121
Belize,Central and South America,Caa1,0.05970183,0.134806228,0.092806228,0.04493837500223341,9.0,2016.0,2025.0,3326500000.0,3475987504.4449296,0.3150508310022334,12868667946.37908
Benin,Africa,B1,0.035839813,0.097712829,0.055712829,0.08467183014521296,9.0,2016.0,2025.0,24566420903.5337,26646504721.553513,0.28059748814521296,136003140137.74303
Bermuda,Caribbean,A1,0.005614592,0.050727858,0.008727858,0.03657589941161232,9.0,2015.0,2024.0,9194499000.0,9530796070.56417,0.13853161541161232,93479762042.61241
Bolivia,Central and South America,Caa3,0.079633632,0.165790125,0.123790125,0.07444029629982873,9.0,2016.0,2025.0,64768947525.3256,69590367170.1389,0.40652054629982876,209558885751.67868
Bosnia and Herzegovina,Eastern Europe & Russia,B3,0.051747824,0.122441762,0.080441762,0.07420694027015862,9.0,2016.0,2025.0,32599982936.3931,35019127922.96221,0.3195904642701586,142711814355.40152
Botswana,Africa,Baa1,0.012726409,0.061783146,0.019783146,0.03144030626580907,9.0,2016.0,2025.0,19928479839.4476,20555037349.011837,0.15550659826580907,165677856713.98834
Brazil,Central and South America,Ba1,0.019931802,0.072983897,0.030983897,0.02688266943433848,9.0,2016.0,2025.0,2279920092492.13,2341210430675.3022,0.1733504634343385,15984472536503.842
Bulgaria,Eastern Europe & Russia,Baa1,0.012726409,0.061783146,0.019783146,0.10342472525175439,9.0,2016.0,2025.0,130777235529.606,144302835183.43948,0.22749101725175438,1163110727798.9697
Burkina Faso,Africa,Caa1,0.05970183,0.134806228,0.092806228,0.08892951482004041,9.0,2016.0,2025.0,27627297461.3181,30084179620.342052,0.3590419708200404,111376498758.50987
Cambodia,Asia,B2,0.043793819,0.110077296,0.068077296,0.07582285236761988,9.0,2016.0,2025.0,51267065842.9641,55154281007.69622,0.29647744436761986,249957549071.52
Cameroon,Africa,Caa1,0.05970183,0.134806228,0.092806228,0.0636696797591414,9.0,2016.0,2025.0,58933453923.761,62685728062.18698,0.3337821357591414,232072704052.5187
Canada,North America,Aaa,0.0,0.042,0.0,0.047489454161168565,9.0,2016.0,2025.0,2319899772425.92,2430070546327.046,0.13198945416116858,28758231317479.83
Cayman Islands,Caribbean,Aa3,0.004772403,0.04941868,0.00741868,0.05717133245752648,9.0,2015.0,2024.0,7765336505.34319,8209291140.334733,0.15650869245752647,82640520548.71132
Chile,Central and South America,A2,0.006737511,0.05247343,0.01047343,0.04080360076884815,9.0,2016.0,2025.0,357371159574.862,371953189696.455,0.14625046076884815,3527399390521.9653
China,Asia,A1,0.005614592,0.050727858,0.008727858,0.0608693243266234,9.0,2016.0,2025.0,19498039388042.6,20684871871286.645,0.1628250403266234,202880943637202.7
Colombia,Central and South America,Baa3,0.017498812,0.069201825,0.027201825,0.05491278478389261,9.0,2016.0,2025.0,457410034202.523,482527692968.67914,0.1938164347838926,3473830190701.8223
Costa Rica,Central and South America,Ba3,0.02863442,0.086512078,0.044512078,0.06406452290184994,9.0,2016.0,2025.0,102904921157.478,109497475835.68431,0.23758867890184993,631021515158.2948
Croatia,Eastern Europe & Russia,A3,0.009544807,0.056837359,0.014837359,0.07978431785614215,9.0,2016.0,2025.0,105060182186.274,113442337155.84789,0.19395903585614216,993585437678.4874
Cuba,Caribbean,Ca,0.095541643,0.190519057,0.148519057,0.05035473949387215,9.0,2011.0,2020.0,107352000000.0,112757681994.14616,0.4318928534938722,295534516360.65424
Curacao,Caribbean,Baa3,0.017498812,0.069201825,0.027201825,0.017040851118555134,9.0,2015.0,2024.0,3561178212.2905,3621863720.012785,0.15594450111855512,26074647570.548256
