Z,E,CI-Chondrites,CI-Chondrites,Sun Outer Convection Zone (mainly photoshere),Sun Outer Convection Zone (mainly photoshere)  StdDev,Solar System present,Solar System present  StdDev,Solar System Proto Solar,Solar System Proto Solar  StdDev,Solar System present,Solar System present StdDev,,Solar System Proto Solar,Solar System Proto Solar,
1.00,H,4830000.00,450000.00,30900000000.00,,30900000000.00,,25200000000.00,,12.00,,,12.00,,
2.00,He,0.60,,2590000000.00,120000000.00,2590000000.00,120000000.00,2510000000.00,120000000.00,10.92,0.02,,10.99,0.02,
3.00,Li,56.90,3.40,0.34,0.09,"(0.339, sun)",0.09,56.90,3.40,3.27,0.03,,3.35,0.03,
4.00,Be,0.64,0.04,0.74,0.17,0.64,0.04,0.64,0.04,1.31,0.04,,1.40,0.04,
5.00,B,18.00,1.30,15.50,9.10,18.00,1.30,18.00,1.30,2.77,0.03,,2.85,0.03,
6.00,C,944000.00,179000.00,9120000.00,1350000.00,9120000.00,180000.00,9120000.00,180000.00,8.47,0.06,,8.56,0.06,
7.00,N,44830.00,9700.00,2190000.00,700000.00,2190000.00,9700.00,2190000.00,9700.00,7.85,0.12,,7.94,0.12,
8.00,O,7380000.00,130000.00,16600000.00,2900000.00,16600000.00,130000.00,16600000.00,130000.00,8.73,0.07,,8.82,0.07,
9.00,F,1270.00,275.00,780.00,600.00,1270.00,275.00,1270.00,275.00,4.61,0.09,,4.79,0.09,
10.00,Ne,0.00,,4370000.00,1130000.00,4370000.00,1130000.00,4370000.00,1130000.00,8.15,0.10,,8.24,0.10,
11.00,Na,57800.00,4700.00,50120.00,4840.00,57800.00,4700.00,57800.00,4700.00,6.27,0.03,,6.36,0.03,
12.00,Mg,1030000.00,44000.00,1120000.00,140000.00,1030000.00,44000.00,1030000.00,44000.00,7.52,0.02,,7.61,0.02,
13.00,Al,81820.00,6110.00,83180.00,8030.00,81820.00,6110.00,81820.00,6110.00,6.42,0.03,,6.51,0.03,
14.00,Si,1000000.00,34000.00,1000000.00,70000.00,1000000.00,34000.00,1000000.00,34000.00,7.51,0.01,,7.60,0.01,
15.00,P,8260.00,530.00,8430.00,810.00,8260.00,530.00,8260.00,530.00,5.43,0.03,,5.52,0.03,
16.00,S,437000.00,26000.00,437000.00,53000.00,437000.00,26000.00,437000.00,26000.00,7.15,0.03,,7.24,0.03,
17.00,Cl,5290.00,810.00,5495.00,1750.00,5290.00,810.00,5290.00,810.00,5.23,0.06,,5.32,0.06,
18.00,Ar,0.01,,…,,97700.00,25300.00,97700.00,25300.00,6.50,0.10,,6.59,0.10,
19.00,K,3610.00,190.00,3685.00,850.00,3606.00,190.00,3611.00,190.00,5.07,0.02,,5.16,0.02,
20.00,Ca,57239.00,4500.00,64565.00,4620.00,57239.00,4500.00,57234.00,4500.00,6.27,0.03,,6.36,0.03,
21.00,Sc,33.70,2.20,44.70,4.30,33.70,2.20,33.70,2.20,3.04,0.03,,3.13,0.03,
22.00,Ti,2460.00,150.00,2630.00,254.00,2459.00,150.00,2459.00,150.00,4.90,0.03,,4.99,0.03,
23.00,V,275.00,18.00,240.00,49.00,275.00,18.00,275.00,18.00,3.95,0.03,,4.04,0.03,
24.00,Cr,13130.00,460.00,12880.00,1240.00,13130.00,460.00,13130.00,460.00,5.63,0.02,,5.72,0.02,
25.00,Mn,9090.00,620.00,10230.00,730.00,9090.00,620.00,9090.00,620.00,5.47,0.03,,5.56,0.03,
26.00,Fe,872000.00,38000.00,933000.00,90000.00,872000.00,38000.00,872000.00,38000.00,7.45,0.02,,7.54,0.02,
27.00,Co,2260.00,100.00,2630.00,320.00,2260.00,100.00,2260.00,100.00,4.86,0.02,,4.95,0.02,
28.00,Ni,48670.00,2940.00,48980.00,4730.00,48670.00,2940.00,48670.00,2940.00,6.20,0.03,,6.29,0.03,
29.00,Cu,535.00,50.00,468.00,57.00,535.00,50.00,535.00,50.00,4.24,0.04,,4.33,0.04,
30.00,Zn,1260.00,180.00,1120.00,140.00,1260.00,180.00,1260.00,180.00,4.61,0.60,,4.70,0.60,
31.00,Ga,36.20,1.80,32.40,3.90,36.20,1.80,36.20,1.80,3.07,0.02,,3.16,0.02,
32.00,Ge,120.00,7.00,132.00,23.00,120.00,7.00,120.00,7.00,3.59,0.03,,3.68,0.03,
33.00,As,6.07,0.50,…,,6.07,0.50,6.07,0.50,2.29,0.03,,2.38,0.03,
34.00,Se,67.60,5.00,…,,67.60,5.00,67.60,5.00,3.34,0.03,,3.43,0.03,
35.00,Br,12.30,2.90,…,,12.30,2.90,12.30,2.90,2.60,0.09,,2.69,0.09,
36.00,Kr,0.00,,…,,51.30,10.40,51.30,10.40,3.22,0.08,,3.31,0.08,
37.00,Rb,7.04,0.46,9.12,1.60,7.04,0.46,7.17,0.47,2.36,0.03,,2.45,0.03,
38.00,Sr,23.40,1.30,20.90,3.10,23.40,1.30,23.30,1.30,2.88,0.02,,2.97,0.02,
39.00,Y,4.35,0.24,5.01,0.61,4.35,0.24,4.35,0.24,2.15,0.02,,2.24,0.02,
40.00,Zr,10.90,1.00,12.50,1.84,10.90,1.00,10.90,1.00,2.55,0.04,,2.64,0.04,
41.00,Nb,0.78,0.07,0.91,0.14,0.78,0.07,0.78,0.07,1.40,0.04,,1.49,0.04,
42.00,Mo,2.60,0.26,2.34,0.54,2.60,0.26,2.60,0.26,1.92,0.04,,2.01,0.04,
43.00,Tc,,,,,,,,,,,,,,
44.00,Ru,1.81,0.02,1.74,0.35,1.81,0.02,1.81,0.02,1.77,0.01,,1.86,0.01,
45.00,Rh,0.34,0.02,0.24,0.05,0.34,0.02,0.34,0.02,1.04,0.02,,1.13,0.02,
