atomic_number,symbol,element_name,ci_atomic_abundance,ci_atomic_sigma,mean_atomic_weight,ci_mass_fraction,ci_mass_percent,ci_mass_ppm,price_usd_per_kg,price_date,price_source,price_quality,log_mass_abundance,log_price,predicted_log_price,regression_residual
1,H,Hydrogen,4830000.0,450000.0,1.0078448556824207,0.018606499222879287,1.8606499222879287,18606.499222879287,,,,excluded,-1.7303353308565574,,,
2,He,Helium,0.599,,4.002439455611863,9.163796758388616e-09,9.163796758388616e-07,0.009163796758388616,,,,excluded,-8.037924551487128,,,
3,Li,Lithium,56.9,3.4,6.940046603668963,1.5093797120197132e-06,0.00015093797120197132,1.5093797120197132,,,,excluded,-5.821201491774794,,,
4,Be,Beryllium,0.637,0.044,9.01218291,2.1942862658940635e-08,2.1942862658940635e-06,0.021942862658940635,,,,excluded,-7.6587067151440875,,,
5,B,Boron,18.0,1.3,10.8117554053493,7.438623403886818e-07,7.438623403886818e-05,0.7438623403886818,,,,excluded,-6.128507427815871,,,
6,C,Carbon,944000.0,179000.0,12.010388846941291,0.043336408622404246,4.333640862240425,43336.40862240425,,,,excluded,-1.3631470824047311,,,
7,N,Nitrogen,44830.0,9700.0,14.005324647710609,0.002399859265569416,0.23998592655694162,2399.859265569416,,,,excluded,-2.6198142257795234,,,
8,O,Oxygen,7380000.0,130000.0,15.99904150874333,0.45130919503231626,45.130919503231624,451309.19503231626,,,,excluded,-0.34552581801737897,,,
9,F,Fluorine,1270.0,275.0,18.9984031655,9.222415305724349e-05,0.00922241530572435,92.2241530572435,,,,excluded,-4.035155324436801,,,
10,Ne,Neon,0.00234,,20.1276350541071,1.8002485168651266e-10,1.8002485168651265e-08,0.00018002485168651267,,,,excluded,-9.744667538200455,,,
11,Na,Sodium,57800.0,4700.0,22.9897692811,0.005079094652102688,0.5079094652102688,5079.094652102688,,,,excluded,-2.294213693746935,,,
12,Mg,Magnesium,1030000.0,44000.0,24.30498175862634,0.09568775803297688,9.568775803297688,95687.75803297688,,,,excluded,-1.0191436208313733,,,
13,Al,Aluminium,81820.0,6110.0,26.981538594,0.008438204404524207,0.8438204404524207,8438.204404524207,3.446403846153846,2026-09-23,Yahoo Finance,benchmark,-2.073749958607878,0.5373661662866608,0.2942101803491046,0.24315598593755616
14,Si,Silicon,1000000.0,34000.0,28.0853836655417,0.10735053570500883,10.735053570500883,107350.53570500882,,,,excluded,-0.9691957839883403,,,
15,P,Phosphorus,8260.0,530.0,30.97376200041,0.0009779076853903199,0.09779076853903199,977.9076853903199,,,,excluded,-3.009702140731678,,,
16,S,Sulfur,437000.0,26000.0,32.06387932749843,0.05355763082974495,5.355763082974494,53557.63082974495,,,,excluded,-1.2711786426444511,,,
17,Cl,Chlorine,5290.0,810.0,35.45284372008058,0.0007168538190494233,0.07168538190494232,716.8538190494232,,,,excluded,-3.1445693967070256,,,
18,Ar,Argon,0.00959,,36.27537812524259,1.3297022703549428e-09,1.329702270354943e-07,0.0013297022703549427,,,,excluded,-8.876245589722174,,,
19,K,Potassium,3610.0,190.0,39.09946879156969,0.0005395130002015559,0.05395130002015559,539.5130002015559,,,,excluded,-3.26799808601763,,,
20,Ca,Calcium,57239.0,4500.0,40.078022533885196,0.008768436836555961,0.8768436836555961,8768.43683655596,,,,excluded,-2.057077822114733,,,
21,Sc,Scandium,33.7,2.2,44.955911900000004,5.790826689019905e-06,0.0005790826689019905,5.790826689019904,,,,excluded,-5.237259432671293,,,
22,Ti,Titanium,2460.0,150.0,47.8668886953549,0.0004500846085893413,0.04500846085893413,450.0846085893413,,,,excluded,-3.3467058382479435,,,
23,V,Vanadium,275.0,18.0,50.94147048790299,5.3546122359950573e-05,0.005354612235995058,53.54612235995057,,,,excluded,-4.271271973919915,,,
24,Cr,Chromium,13130.0,460.0,51.99611909841759,0.002609513277486337,0.26095132774863367,2609.513277486337,,,,excluded,-2.5834404890655125,,,
25,Mn,Manganese,9090.0,620.0,54.93804512,0.0019088022573611916,0.19088022573611915,1908.8022573611916,,,,excluded,-2.7192390600741265,,,
26,Fe,Iron,872000.0,38000.0,55.845144583095596,0.18613402108978191,18.613402108978192,186134.02108978192,0.157363286289385,2026-09-23,Investing.com daily snapshot,proxy,-0.7301742404039201,-0.8030965834239819,,
27,Co,Cobalt,2260.0,100.0,58.933195059999996,0.0005090873212556297,0.05090873212556297,509.0873212556297,,,,excluded,-3.2932077188677567,,,
28,Ni,Nickel,48670.0,2940.0,58.6933519579479,0.010918779957273587,1.0918779957273588,10918.779957273588,16.77245662560096,2026-09-23,Investing.com daily snapshot,benchmark,-1.9618258861207774,1.2245966774424357,0.21835108536343362,1.006245592079002
29,Cu,Copper,535.0,50.0,63.545560157424404,0.00012994598019770007,0.012994598019770006,129.94598019770007,14.188391580731125,2026-09-23,Yahoo Finance,benchmark,-3.8862371505989763,1.1519331659152132,1.5226647478275281,-0.3707315819123149
30,Zn,Zinc,1260.0,180.0,65.37776549374045,0.0003148650619477226,0.03148650619477226,314.8650619477226,3.921765625,2026-09-23,Yahoo Finance,benchmark,-3.5018755268677966,0.5934816355299581,1.2621548836351693,-0.6686732481052111
31,Ga,Gallium,36.2,1.8,69.7230680797011,9.64736955368711e-06,0.000964736955368711,9.64736955368711,,,,excluded,-5.015591085002939,,,
32,Ge,Germanium,120.0,7.0,72.62958875242656,3.33133790307027e-05,0.0033313379030702702,33.313379030702706,,,,excluded,-4.4773813138725975,,,
33,As,Arsenic,6.07,0.5,74.9215965,1.7382793430451056e-06,0.00017382793430451056,1.7382793430451056,,,,excluded,-5.759880430767307,,,
