date,price_usd_per_metric_tonne
2026-09-22,1938.22998046875
2026-09-21,1944.030029296875
2026-09-18,1925.030029296875
2026-09-17,1914.199951171875
2026-09-16,1886.4300537109375
2026-09-15,1874.6300048828125
2026-09-14,1880.72998046875
2026-09-11,1892.9300537109375
2026-09-10,1902.1800537109375
2026-09-09,1913.3199462890625
2026-09-08,1916.1800537109375
2026-09-07,1900.47998046875
2026-09-04,1907.6300048828125
2026-09-03,1905.1800537109375
2026-09-02,1897.1800537109375
2026-09-01,1919.6500244140625
2026-08-28,1907.72998046875
2026-08-27,1919.8800048828125
2026-08-26,1912.3800048828125
2026-08-25,1904.780029296875
2026-08-24,1914.47998046875
2026-08-21,1901.8800048828125
2026-08-20,1905.0
2026-08-19,1889.72998046875
2026-08-18,1890.3299560546875
2026-08-17,1890.780029296875
2026-08-14,1895.5799560546875
2026-08-13,1888.72998046875
2026-08-12,1909.72998046875
2026-08-11,1908.22998046875
2026-08-10,1904.47998046875
2026-08-07,1892.280029296875
2026-08-06,1886.4300537109375
2026-08-05,1891.3800048828125
2026-08-04,1896.1300048828125
2026-08-03,1869.530029296875
2026-07-31,1882.0799560546875
2026-07-30,1899.72998046875
2026-07-29,1904.4300537109375
2026-07-28,1898.8299560546875
2026-07-27,1900.3299560546875
2026-07-24,1895.1300048828125
2026-07-23,1900.22998046875
2026-07-22,1898.97998046875
2026-07-21,1873.47998046875
2026-07-20,1883.47998046875
2026-07-17,1884.6800537109375
2026-07-16,1871.6800537109375
2026-07-15,1852.5799560546875
2026-07-14,1867.1300048828125
2026-07-13,1871.280029296875
2026-07-10,1897.030029296875
2026-07-09,1893.6800537109375
2026-07-08,1892.780029296875
2026-07-07,1891.3299560546875
2026-07-06,1884.47998046875
2026-07-03,1894.3800048828125
2026-07-02,1876.280029296875
2026-07-01,1874.9000244140625
2026-06-30,1877.4300537109375
2026-06-29,1897.3800048828125
2026-06-26,1908.1300048828125
2026-06-25,1917.6800537109375
2026-06-24,1916.97998046875
2026-06-23,1941.8800048828125
2026-06-22,1968.1800537109375
