date,price_usd_per_metric_tonne
2026-09-22,16576.5
2026-09-21,16353.75
2026-09-18,16225.0
2026-09-17,16261.75
2026-09-16,16110.5
2026-09-15,15897.75
2026-09-14,16363.5
2026-09-11,16431.75
2026-09-10,16626.75
2026-09-09,16870.0
2026-09-08,16776.25
2026-09-07,16700.380859375
2026-09-04,16811.130859375
2026-09-03,16778.630859375
2026-09-02,16874.630859375
2026-09-01,16655.130859375
2026-08-28,16673.380859375
2026-08-27,16853.630859375
2026-08-26,16861.380859375
2026-08-25,16994.630859375
2026-08-24,16976.75
2026-08-21,17043.630859375
2026-08-20,16852.130859375
2026-08-19,17103.630859375
2026-08-18,16753.880859375
2026-08-17,16740.880859375
2026-08-14,16758.880859375
2026-08-13,16739.130859375
2026-08-12,16885.880859375
2026-08-11,16798.130859375
2026-08-10,16914.630859375
2026-08-07,16981.130859375
2026-08-06,16719.630859375
2026-08-05,17106.130859375
2026-08-04,17125.880859375
2026-08-03,17051.630859375
2026-07-31,17259.880859375
2026-07-30,17297.130859375
2026-07-29,17139.380859375
2026-07-28,16950.130859375
2026-07-27,17243.880859375
2026-07-24,17341.630859375
2026-07-23,17258.880859375
2026-07-22,17187.130859375
2026-07-21,17081.630859375
2026-07-20,16902.630859375
2026-07-17,17014.630859375
2026-07-16,17135.130859375
2026-07-15,16825.880859375
2026-07-14,16784.380859375
2026-07-13,16783.380859375
2026-07-10,16737.380859375
2026-07-09,16570.880859375
2026-07-08,16363.3798828125
2026-07-07,16317.8798828125
2026-07-06,16420.880859375
2026-07-03,16392.380859375
2026-07-02,16265.6298828125
2026-07-01,16353.6298828125
2026-06-30,16384.130859375
2026-06-29,16306.6298828125
2026-06-26,16795.630859375
2026-06-25,16860.880859375
2026-06-24,16801.130859375
2026-06-23,17185.130859375
2026-06-22,17704.380859375
