date,price_usd_per_metric_tonne
2026-09-18,53533
2026-09-17,53026
2026-09-16,52268
2026-09-15,51806
2026-09-14,51720
2026-09-11,53210
2026-09-10,54034
2026-09-09,54916
2026-09-08,54529
2026-09-07,54837
2026-09-04,54546
2026-09-03,54622
2026-09-02,53874
2026-09-01,54274
2026-08-31,54894
2026-08-28,54894
2026-08-27,55034
2026-08-26,54549
2026-08-25,55594
2026-08-24,55463
2026-08-21,55630
2026-08-20,55543
2026-08-19,55340
2026-08-18,54599
2026-08-17,55589
2026-08-14,56051
2026-08-13,55569
2026-08-12,55560
2026-08-11,55636
2026-08-10,55465
2026-08-07,55231
2026-08-06,55805
2026-08-05,56423
2026-08-04,55755
2026-08-03,55200
2026-07-31,54989
2026-07-30,54700
2026-07-29,53661
2026-07-28,53504
2026-07-27,54262
2026-07-24,53676
2026-07-23,53162
2026-07-22,53750
2026-07-21,53715
2026-07-20,52712
2026-07-17,53067
2026-07-16,52981
2026-07-15,52605
2026-07-14,53610
2026-07-13,52418
2026-07-10,52956
2026-07-09,53273
2026-07-08,51727
2026-07-07,53000
2026-07-06,52680
2026-07-02,50607
2026-07-03,52276
2026-06-30,51282
2026-06-29,50097
2026-06-26,50329
2026-06-25,50106
2026-06-24,49396
2026-06-23,50884
2026-06-22,53967
