country/company,PV_of_GDP/Mkt_Cap
Albania,195269347316.5105
Angola,538066194187.69147
Argentina,2586662494334.297
Armenia,188748600268.71616
Aruba,31162630276.657818
Australia,22239270023883.797
Austria,6625612914857.018
Azerbaijan,590637261752.4655
Bahrain,231177011726.26828
Bangladesh,2196542956785.97
Barbados,13251538544.201897
Belarus,160095101921.41663
Belgium,7459604282024.121
Belize,12868667946.37908
Benin,136003140137.74303
Bermuda,93479762042.61241
Bolivia,209558885751.67868
Bosnia and Herzegovina,142711814355.40152
Botswana,165677856713.98834
Brazil,15984472536503.842
Bulgaria,1163110727798.9697
Burkina Faso,111376498758.50987
Cambodia,249957549071.52
Cameroon,232072704052.5187
Canada,28758231317479.83
Cayman Islands,82640520548.71132
Chile,3527399390521.9653
China,202880943637202.7
Colombia,3473830190701.8223
Costa Rica,631021515158.2948
Croatia,993585437678.4874
Cuba,295534516360.65424
Curacao,26074647570.548256
Cyprus,389083084639.6243
Czech Republic,4245148608843.2295
Denmark,5718076540727.387
Dominican Republic,849326283062.8654
Ecuador,498177926075.7735
El Salvador,156689141556.97284
Estonia,495814883778.2341
Ethiopia,407310297371.72943
Fiji,32449211279.270004
Finland,3583726981662.6265
France,35073092767555.152
Gabon,73077509786.34564
Georgia,265285156398.3884
Germany,62188456772790.33
Ghana,457536471694.7462
Greece,2106055024027.6917
Guatemala,902325230673.7115
Honduras,216076765880.8936
Hungary,2012310824190.8525
Iceland,404705874612.1526
India,30257282925197.03
Indonesia,11531710815839.502
Iraq,986951454266.3872
Ireland,7993531532239.901
Isle of Man,76120083602.19353
Israel,5287603471766.961
Italy,20044967973020.79
Jamaica,137116236872.49606
Japan,42821319090800.06
Jordan,368874641452.8297
Kazakhstan,2698513788571.391
Kenya,592003035641.5768
Kuwait,1605308591287.4468
Latvia,454368702442.47034
Lebanon,38424109623.85261
Liechtenstein,109587155408.88918
Lithuania,986369506422.3075
Luxembourg,1263564381307.0203
Malaysia,4347472227151.5625
Maldives,26811290935.881092
Mali,104409005911.08246
Malta,289040451762.08875
Mauritius,119418021193.03049
Mexico,13946388946351.152
Moldova,102343907229.96399
Mongolia,141823571632.23013
Montenegro,57837141325.575066
Morocco,1315021955419.2607
Mozambique,77824627229.87305
Namibia,79942778206.43515
Nepal,280780934999.1826
Netherlands,16699308537125.924
New Zealand,3243277198729.2983
Nicaragua,106713671750.75397
Niger,70759519995.27127
Nigeria,1142344137556.2317
Norway,6512476801592.561
Oman,822887872289.1859
Pakistan,1552348057250.8962
Panama,681963626938.642
Papua New Guinea,154803769298.55276
Paraguay,348291710816.5176
Peru,2871227580099.2617
Philippines,3879089418331.2417
Poland,10712628100234.92
Portugal,3216246862084.3896
Qatar,2317388743681.256
Romania,3387605142977.6533
Rwanda,79703539373.59256
Saudi Arabia,13766127271411.01
Senegal,147503042349.6351
Serbia,691896676332.6298
Singapore,7666828151971.149
Slovenia,806232901288.2698
Solomon Islands,6650519943.836177
South Africa,2771289844617.4937
Spain,17510359688790.387
Sri Lanka,412510048023.3512
St. Vincent & the Grenadines,5367311475.391082
Suriname,17334470678.579582
Sweden,8154081426578.979
Switzerland,12912540176821.752
Tajikistan,88715988893.50665
Tanzania,491475396377.2443
Thailand,4826405066176.501
Togo,52211815192.166336
Trinidad and Tobago,164891069972.50845
Tunisia,219112194111.31094
Turks and Caicos Islands,14841429567.775898
Uganda,274639949465.09323
Ukraine,615788954272.0048
United Arab Emirates,5949474241586.293
United Kingdom,42082755060766.805
United States,365636459962248.56
Uruguay,718807076929.2635
Uzbekistan,967687491561.5332
Zambia,97371049158.86586
NVIDIA,5253179637760.0
Apple,4665759498240.0
Alphabet (Google),4193400127488.0
Microsoft,3813240733696.0
Amazon,2873797378048.0
TSMC,2165456502784.0
SpaceX,1865221931008.0
Broadcom,1754548011008.0
Saudi Aramco,1681791955560.0
Meta Platforms (Facebook),1472509509632.0
